u001\tSara Rodrigues\t35\tPT\tfree
u002\tYara Oliveira\t67\tES\tfree
u003\tMiguel Sousa\t31\tUS\tpremium
u004\tLuisa Silva\t42\tDE\tpremium
u005\tJoana Pinto\t66\tBR\tbasic
u006\tNadia Oliveira\t35\tGB\tstandard
u007\tDiogo Lopes\t48\tDE\tfree
u008\tAna Pereira\t26\tBR\tpremium
u009\tZeca Pereira\t17\tGB\tfree
u010\tVera Sousa\t54\tBR\tfree
u011\tZeca Correia\t55\tDE\tpremium
u012\tRui Martins\t64\tGB\tfree
u013\tZeca Pinto\t59\tUS\tbasic
u014\tRui Jesus\t45\tGB\tfree
u015\tSara Ferreira\t63\tGB\tfree
u016\tKevin Carvalho\t31\tFR\tpremium
u017\tKevin Jesus\t50\tPT\tbasic
u018\tDiogo Ferreira\t26\tIT\tbasic
u019\tCarla Oliveira\t35\tIT\tpremium
u020\tLuisa Martins\t44\tIT\tpremium
u021\tBruno Alves\t67\tBR\tbasic
u022\tLuisa Marques\t21\tIT\tpremium
u023\tBruno Alves\t68\tBR\tbasic
u024\tZeca Oliveira\t58\tES\tstandard
u025\tJoana Silva\t64\tDE\tbasic
u026\tKevin Costa\t63\tFR\tpremium
u027\tLuisa Jesus\t62\tFR\tpremium
u028\tLuisa Rodrigues\t29\tPT\tfree
u029\tAna Costa\t69\tES\tstandard
u030\tHelena Pereira\t39\tPT\tfree
u031\tXavier Pinto\t20\tGB\tstandard
u032\tNadia Martins\t63\tPT\tpremium
u033\tGuilherme Teixeira\t52\tUS\tpremium
u034\tEva Alves\t63\tFR\tfree
u035\tVera Lopes\t42\tUS\tfree
u036\tZeca Rodrigues\t39\tES\tbasic
u037\tIgor Santos\t66\tUS\tfree
u038\tRui Santos\t17\tFR\tstandard
u039\tZeca Marques\t57\tIT\tbasic
u040\tJoana Fernandes\t31\tFR\tstandard
u041\tRui Silva\t62\tUS\tfree
u042\tGuilherme Pinto\t39\tGB\tfree
u043\tCarla Rodrigues\t58\tGB\tfree
u044\tRui Gomes\t58\tUS\tfree
u045\tRui Teixeira\t60\tIT\tpremium
u046\tHelena Ferreira\t21\tUS\tstandard
u047\tLuisa Santos\t44\tDE\tpremium
u048\tYara Ribeiro\t30\tFR\tfree
u049\tTiago Martins\t55\tGB\tfree
u050\tCarla Ribeiro\t43\tGB\tbasic
